account_id,cases,revenue
KOLMARFF,2,2100.0
SARDEMRI,3,1695.0
PICGIN,1,1495.0
MCSJAM,1,1495.0
KHASUM,4,1169.96
SINMAN,3,724.96
HUBMAR,1,629.97
GRAALE,4,610.0
GOTMAT,1,600.0
PAMPAU,1,600.0
GURPHI,1,600.0
TADSIM,5,546.0
CALELA,2,509.98
ARANAD,3,508.0
NISLIN,4,498.0
PATGIA,6,468.0
CHUMAN,1,447.0
MCCSCO,3,439.96000000000004
KORMIK,5,390.0
MALRYA,3,355.99
JAVJAM,2,345.98
PATNEE,2,343.98
SAMJACSTC,3,342.98
GIUMIC,3,329.96999999999997
CALSAM,1,319.98
GORJOH,1,299.99
JUEDAV,1,299.0
TOWERI,1,289.99
KONKEV,1,289.99
ATHJOH,2,289.98
CHANHWA,3,284.97
PATTARRO,2,278.0
FELNIC,3,267.99
SINPAU,2,244.0
CHAROB,1,239.98
OLCVAN,4,237.0
DOUBRI,3,237.0
JURAND,2,234.0
REMTHO,2,229.98
GAFMEG,1,219.98
LUKPAU,1,219.98
BOYMIC,2,212.0
AKADAN,2,189.98
LEBRAF,1,178.0
LEBRAFB,2,178.0
HANMIR,2,166.0
SOHMUHLAK,1,159.99
BAPBENNR,1,158.0
TYSMONLB,1,149.99
WALBRIOP,1,149.0
ALSEMA,2,147.0
PRAMAR,1,143.91
PRODON,1,139.99
GRAVICK,1,139.98
PULJOSMT,2,138.0
PATAMIPA,1,129.0
BAICHA,1,129.0
HAJBIL,1,129.0
TAPGAR,1,119.99
WITMAT,1,119.99
MORCHR,1,109.99
RYASEA,1,109.99
LIGLAU,1,109.99
GAFCOL,1,109.99
FADSADNA,1,109.99
GLOANT,1,109.99
GUAGILOL,1,100.0
CZAAUS,1,89.99
GRISET,1,89.99
FRAMIC,1,89.0
SANJAM,1,89.0
PETCHR,1,85.0
BACKAT,1,85.0
CHUMANRV,1,83.0
PATHARVV,1,83.0
BAPBEN,1,79.0
SUHINE,1,79.0
DARDAVSB,4,78.0
AUSMIC,1,78.0
SAMAND,1,72.99
WISPAUBA,1,69.99
SCARAN,1,69.99
RYCJUAFL,2,69.0
RASMOSFL,1,69.0
HOLMARLA,1,69.0
NICJEF,1,69.0
MADABD,1,69.0
RESVER,1,69.0
KORJAMEP,1,67.0
TUCELILV,1,65.0
RIYTARCHI,1,49.0
POSBRI,1,45.99
LIAPETBO,2,42.9
GROGAR,1,39.0
RHICAT,2,30.0
SAFTAR,1,30.0
SOOANUHE,2,30.0
BRZDANI,1,30.0
NAISNE,1,30.0
HANEMIMUN,1,24.5
CREJASTP,1,19.99
GALPET,1,15.99
JONKAR,1,14.0
REAAND,1,10.0
GARCAL,1,10.0
SACELI,1,10.0
PATPINNA,1,9.5
GRAVICDES,2,6.99
HAFMAR,1,6.99
JOUCYN,1,6.99
THADEVOP,1,6.99
LUCPAULYO,1,0.0
CUARACMOK,1,0.0
MACMAR,1,0.0
PLAROB,1,0.0
PATDHA,1,0.0
PAIADI,1,0.0
JAGSAM,1,0.0
NIEMAR,1,0.0
KAUHAR,1,0.0
MALKEV,1,0.0
YERPAT,1,0.0
