date,dashboard,pct_of_goal,remake_rate_pct
2026-07-17,Fixed,42.9,5.57
2026-07-17,Removable,45.2,4.07
2026-07-21,Fixed,75.5,5.54
2026-07-21,Removable,115.8,3.67
2026-07-22,Fixed,90.9,6.02
2026-07-22,Removable,135.6,3.83
2026-07-23,Fixed,80.7,6.1
2026-07-23,Removable,140.4,3.85
2026-07-24,Fixed,107.9,6.25
2026-07-24,Removable,104.8,3.98
2026-07-25,Fixed,0.0,6.25
2026-07-25,Removable,0.0,3.98
2026-07-26,Fixed,0.0,6.25
2026-07-26,Removable,0.0,3.98
2026-07-27,Fixed,85.3,6.26
2026-07-27,Removable,81.5,3.79
2026-07-28,Fixed,91.8,6.04
2026-07-28,Removable,165.8,4.0
2026-07-29,Fixed,7.2,6.04
2026-07-29,Removable,37.7,4.08
