date,cases_in,units_in,dollars_in,cases_out,units_out,dollars_invoiced,dollars_net
2026-08-31,5,4.0,393.27,2,5,916.01,894.96
2026-08-28,79,97.0,14780.69,93,130,19830.12,19194.78
2026-08-27,99,127.0,20822.42,82,126,20738.13,20186.01
2026-08-26,98,152.0,26126.35,70,103,19599.59,18961.27
2026-08-25,103,144.0,20516.36,95,115,15438.48,15039.21
2026-08-24,102,150.0,17234.76,75,103,17365.97,16873.83
2026-08-21,75,102.0,14589.51,106,154,23463.27,22906.71
2026-08-20,121,177.0,26623.92,89,130,21180.54,20580.16
2026-08-19,101,189.0,20433.71,88,125,19729.5,19234.39
2026-08-18,129,201.0,22302.43,73,105,14872.29,14291.77
2026-08-17,84,113.0,12117.02,84,125,21259.36,20733.87
2026-08-14,69,102.0,12672.56,65,98,14448.41,13963.15
2026-08-13,107,154.0,17119.3,81,101,15136.25,14749.5
2026-08-12,99,138.0,20873.37,96,125,20107.48,19551.05
2026-08-11,97,132.0,19264.22,62,87,11951.05,11640.36
2026-08-10,87,129.0,22416.62,97,128,21127.67,20596.49
2026-08-09,3,3.0,6412.2,3,3,6412.2,4426.32
2026-08-07,88,132.0,19212.26,87,151,20478.21,19970.04
2026-08-06,84,129.0,17132.67,106,124,28166.17,27473.89
2026-08-05,119,185.0,23788.65,73,106,19549.27,19096.01
2026-08-04,101,139.0,18468.34,90,148,17072.54,16633.19
2026-08-03,93,125.0,18340.85,88,114,15106.38,14735.72
2026-08-01,1,0.0,52.06,5,13,1356.04,1323.99
2026-07-31,85,112.0,16375.75,95,133,25904.6,25260.34
2026-07-30,93,141.0,19827.99,68,100,13646.15,13212.18
2026-07-29,108,174.0,24716.54,90,123,19849.69,19278.15
2026-07-28,86,121.0,17153.2,139,175,26622.24,25957.64
2026-07-27,124,200.0,24709.21,68,97,23527.88,22945.1
2026-07-24,67,97.0,18654.14,87,157,22976.08,22283.76
2026-07-23,128,173.0,25878.24,97,130,18892.07,18368.65
2026-07-22,90,159.0,19345.61,87,116,16519.95,16074.58
2026-07-21,116,196.0,21937.83,85,117,23470.2,22886.99
2026-07-20,110,159.0,22033.81,96,132,23271.67,22701.57
2026-07-17,78,125.0,15626.93,84,115,21848.06,21299.76
2026-07-16,98,147.0,22517.37,94,119,16792.74,16358.2
2026-07-15,96,121.0,19712.55,98,152,19916.15,19377.99
2026-07-14,119,158.0,18607.27,103,131,21594.81,20385.5
2026-07-13,105,142.0,16172.93,89,125,24069.56,22580.7
2026-07-10,86,127.0,24321.24,84,125,20896.7,20393.88
2026-07-09,105,143.0,24499.75,98,149,28559.18,27846.04
2026-07-08,117,176.0,27642.35,83,98,11501.81,11187.82
2026-07-07,100,154.0,20804.93,80,100,12961.55,12640.14
2026-07-06,80,106.0,12216.05,68,116,19287.25,18608.71
2026-07-03,11,11.0,4650.98,2,2,3117.38,2934.0
2026-07-02,102,131.6,22579.45,107,122,20074.0,19543.82
2026-07-01,108,154.0,20339.0,97,137,20338.4,19812.11
2026-06-30,94,143.0,16302.08,73,105,14693.17,14248.4
2026-06-29,94,145.0,16009.63,84,108,25620.05,24963.69
2026-06-27,1,1.0,606.81,0,0,0.0,0.0
2026-06-26,77,97.0,10341.87,81,110,15344.91,14890.6
2026-06-25,120,170.0,26461.84,89,137,22065.03,21398.48
2026-06-24,91,151.0,17241.74,82,120,19565.47,19070.8
2026-06-23,105,183.0,24602.42,100,125,19881.36,19394.17
2026-06-22,106,151.0,23653.29,101,127,23299.51,22079.12
2026-06-19,91,143.0,33512.98,85,108,17313.2,16871.53
2026-06-18,84,111.0,13802.07,82,116,17857.24,15761.91
2026-06-17,102,144.0,18037.65,94,115,20942.11,20101.95
2026-06-16,109,154.0,20519.34,96,133,17501.15,17060.38
2026-06-15,107,134.0,19895.34,116,161,27616.0,26950.95
2026-06-12,92,135.0,22810.48,82,112,29593.31,28820.94
2026-06-11,120,174.0,19924.6,95,144,22035.79,21471.35
2026-06-10,119,169.0,21684.69,95,119,26482.12,25355.43
2026-06-09,116,195.0,23941.47,93,130,16361.61,15954.67
2026-06-08,101,119.0,14684.04,103,166,25147.16,24546.77
2026-06-05,88,128.0,18582.6,94,129,23027.85,22399.69
2026-06-04,108,134.0,17111.79,96,133,16712.21,16278.21
2026-06-03,115,165.0,18108.38,80,97,15191.0,14643.82
2026-06-02,103,143.0,15793.67,134,198,30651.19,29860.61
