account_id,month,year,status
ABDBRU,9,2025,real
ABDGHA,9,2025,real
ABDGHATP,9,2024,real
ABDJAS,6,2025,real
ABDSAM,10,2024,real
ABDSAM,3,2025,real
ABDSAM,5,2025,real
ABRORL,11,2024,real
ABRORL,0,2025,real
ABUSIM,9,2024,real
ABUSIM,10,2024,real
ABUSIM,11,2024,real
ABUSIM,0,2025,real
ABUSIM,1,2025,real
ABUSIM,2,2025,real
ABUSIM,3,2025,real
ABUSIM,4,2025,real
ABUSIM,5,2025,real
ABUSIM,6,2025,real
ABUSIM,7,2025,real
ABUSIM,8,2025,real
ABUSIM,9,2025,real
ABUSIM,10,2025,real
ABUSIM,11,2025,real
ABUSIM,0,2026,real
ABUSIM,1,2026,real
ABUSIM,2,2026,real
ABUSIM,3,2026,real
ADAAMMDYE,9,2025,real
ADAAMMDYE,2,2026,real
ADAAMMDYE,3,2026,real
ADAAMMHOM,0,2025,real
ADAAMMHOM,7,2025,remake
ADAWID,5,2025,real
ADAWID,6,2025,real
ADAWID,7,2025,real
ADAWID,8,2025,real
ADAWID,9,2025,real
ADAWID,10,2025,real
ADAWID,11,2025,real
ADAWID,0,2026,real
ADAWID,1,2026,real
ADAWID,2,2026,real
ADEKUN,1,2025,real
ADEKUN,2,2025,real
ADEKUN,3,2025,real
ADEKUN,4,2025,real
ADEKUN,5,2025,real
ADEKUN,6,2025,real
ADEKUN,7,2025,real
ADEKUN,8,2025,real
ADEKUN,10,2025,real
ADEKUN,11,2025,real
ADHRUA,11,2024,real
AGRKAR,5,2025,real
AGRKAR,6,2025,real
AGRKAR,8,2025,real
AGRKAR,11,2025,real
AHMAHMTP,11,2025,real
AHMAHMTP,0,2026,real
AHMSAN,9,2024,real
AHMSAN,10,2024,real
AHMSAN,11,2024,real
AHMSAN,0,2025,real
AHMSAN,1,2025,real
AHMSAN,2,2025,real
AHMSAN,3,2025,real
AHMSAN,4,2025,real
AHMSAN,5,2025,real
AHMSAN,6,2025,real
AHMSAN,7,2025,real
AHMSAN,8,2025,real
AHMSAN,9,2025,real
AHMSAN,10,2025,real
AHMSAN,11,2025,real
AHMSAN,0,2026,real
AHMSAN,1,2026,real
AHMSAN,2,2026,real
AHMSAN,3,2026,real
AKADAN,2,2026,real
AKADAN,3,2026,real
ALBLAU,9,2024,real
ALBLAU,11,2024,real
ALBLAU,0,2025,real
ALBLAU,4,2025,real
ALBLAU,5,2025,real
ALBLAU,6,2025,real
ALBLAU,7,2025,real
ALBLAU,8,2025,real
ALBLAU,9,2025,real
ALBLAU,0,2026,real
ALBLAU,3,2026,real
ALBMONWA,1,2025,real
ALBMONWA,2,2025,real
ALBMONWA,3,2025,real
ALBMONWA,4,2025,real
ALBMONWA,5,2025,real
ALBMONWA,6,2025,real
ALBMONWA,7,2025,real
ALBMONWA,8,2025,real
ALBMONWA,11,2025,real
ALBMONWA,3,2026,real
ALHRENCH,1,2026,real
ALIFAT,9,2024,real
ALIFAT,10,2024,real
ALIFAT,11,2024,real
ALIFAT,0,2025,real
ALIFAT,1,2025,real
ALIFAT,2,2025,remake
ALIFAT,3,2025,remake
ALIFAT,9,2025,real
ALIFAT,11,2025,real
ALIFAT,0,2026,real
ALIFAT,1,2026,real
ALIFAT,2,2026,real
ALKALI,1,2025,real
ALKALI,2,2025,real
ALLFAH,3,2026,real
ALQALI,9,2024,real
ALSDIN,9,2024,remake
ALSDIN,11,2024,real
ALSDIN,0,2025,real
ALSDIN,1,2025,real
ALSDIN,3,2025,real
ALSDIN,5,2025,real
ALSDIN,6,2025,real
ALSDIN,10,2025,real
ALSDIN,3,2026,real
ALSEMA,9,2024,real
ALSEMA,10,2024,real
ALSEMA,11,2024,real
ALSEMA,0,2025,real
ALSEMA,1,2025,real
ALSEMA,2,2025,real
ALSEMA,3,2025,real
ALSEMA,4,2025,real
ALSEMA,5,2025,real
ALSEMA,6,2025,real
ALSEMA,7,2025,real
ALSEMA,8,2025,real
ALSEMA,9,2025,real
ALSEMA,10,2025,real
ALSEMA,11,2025,real
ALSEMA,0,2026,real
ALSEMA,1,2026,real
ALSEMA,2,2026,real
ALSEMA,3,2026,real
ALSJAY,5,2025,real
AMAMAR,9,2024,real
AMAMAR,5,2025,real
AMAMAR,7,2025,real
AMAMAR,8,2025,real
AMAMAR,11,2025,real
AMIMUT,9,2024,real
ANAANI,9,2024,real
ANAANI,0,2026,real
ANAANI,1,2026,real
ANDBRE,9,2024,real
ANDBRE,10,2024,real
ANDBRE,11,2024,real
ANDBRE,7,2025,real
ANDBRE,10,2025,real
ANDERIL,8,2025,real
ANDERIL,11,2025,real
ANDLER,9,2024,real
ANDLER,10,2024,real
ANDLER,11,2024,real
ANDLER,0,2025,real
ANDLER,1,2025,real
ANDLER,2,2025,real
ANDLER,3,2025,real
ANDLER,8,2025,real
ANDLER,0,2026,real
ANDLER,1,2026,remake
ANDMAR,9,2024,real
ANDMAR,10,2024,real
ANDMAR,11,2024,real
ANDMAR,0,2025,real
ANDMAR,1,2025,real
ANDMAR,2,2025,real
ANDMAR,3,2025,real
ANDMAR,4,2025,real
ANDMAR,5,2025,real
ANDMAR,6,2025,real
ANDMAR,7,2025,real
ANDMAR,8,2025,real
ANDMAR,9,2025,real
ANDMAR,10,2025,real
ANDMAR,11,2025,real
ANDMAR,0,2026,real
ANDMAR,1,2026,real
ANDMAR,2,2026,real
ANDMAR,3,2026,real
ANDNAT,11,2025,real
ANDWIL,0,2025,real
ANELYVH,11,2024,real
ANELYVH,0,2025,real
ANELYVH,2,2025,real
ANKSHA,1,2026,real
ANKSHA,2,2026,real
ANKSHA,3,2026,real
ARANAD,9,2024,real
ARANAD,10,2024,real
ARANAD,11,2024,remake
ARANAD,1,2025,real
ARANAD,9,2025,real
ARANAD,10,2025,real
ARANAD,11,2025,real
ARANAD,0,2026,real
ARANAD,1,2026,real
ARANAD,2,2026,real
ARANAD,3,2026,real
ARIGIO,6,2025,real
ARIGIO,8,2025,real
ARIGIO,9,2025,real
ARIGIO,10,2025,remake
ARNIVAMP,3,2025,real
ARNIVAMP,4,2025,real
ARNIVAMP,8,2025,real
ARNIVAMP,9,2025,remake
ARNIVAMP,10,2025,real
ARNIVAMP,11,2025,real
ARNIVAMP,0,2026,real
ARNIVAMP,1,2026,real
ARNIVAMP,2,2026,real
ARNIVAMP,3,2026,real
ARONIN,11,2024,real
ARONIN,0,2025,real
ARONIN,1,2025,real
ARONIN,2,2025,real
ARONIN,3,2025,real
ARONIN,4,2025,real
ARONIN,5,2025,real
ARONIN,6,2025,real
ARONIN,7,2025,real
ARONIN,8,2025,real
ARONIN,9,2025,real
ARONIN,10,2025,real
ARONIN,11,2025,real
ARONIN,0,2026,real
ARONIN,1,2026,real
ARONIN,2,2026,real
ARONIN,3,2026,real
ARONINROM,11,2024,real
ARONINROM,0,2025,real
ARONINROM,1,2025,real
ARONINROM,2,2025,real
ARONINROM,3,2025,real
ARONINROM,4,2025,real
ARONINROM,5,2025,real
ARONINROM,6,2025,real
ARONINROM,7,2025,real
ARONINROM,9,2025,real
ARONINROM,10,2025,real
ARONINROM,11,2025,real
ARONINROM,0,2026,real
ARONINROM,1,2026,real
ARONINROM,2,2026,real
ARONINROM,3,2026,real
ARRLIN,9,2024,real
ARRLIN,10,2024,real
ARRLIN,11,2024,real
ARRLIN,0,2025,real
ARRLIN,1,2025,real
ARRLIN,2,2025,real
ARRLIN,3,2025,real
