account_id,ytd_implant_sales,ly_implant_sales,ytd_implant_remakes
SUNJOO,2799.86,3727.93,399.98
RAIMANNA,2580.0,6920.0,0.0
ANDMAR,1975.0,3202.0,0.0
PETRYA,1900.0,0.0,1425.0
SINMAN,1800.0,2700.0,0.0
NIEMAR,1799.91,5719.09,0.0
ABUSIM,1794.92,1175.98,199.99
RASMOSFL,1520.0,1900.0,0.0
GANPOO,1425.0,475.0,0.0
BOYMIC,1178.98,738.0,0.0
PATNEE,1050.0,0.0,0.0
PATUMA,1049.97,0.0,0.0
PATMAR,950.0,0.0,0.0
JURAND,900.0,900.0,0.0
CHAROB,900.0,350.0,0.0
NUCMAG,809.99,1400.0,0.0
THOJAM,799.96,393.99,0.0
PERLUI,789.98,1269.0,789.98
HERCARMU,789.98,0.0,0.0
MALRYA,778.0,913.0,0.0
FELNIC,735.0,1883.0,0.0
RIYTARCHI,700.0,0.0,0.0
SAMJACSTC,699.98,344.0,0.0
KUCMAR,693.98,2115.9700000000003,0.0
BERDANLAP,619.98,1200.0,0.0
SIETOM,600.0,0.0,0.0
KATAND,599.97,453.0,0.0
PAIADI,500.0,0.0,0.0
YERPAT,493.99,95.0,0.0
HANEMIMUN,475.0,950.0,950.0
KIMGIN,475.0,0.0,0.0
SINPAU,465.99,246.95999999999998,0.0
VERVIN,450.0,0.0,0.0
TYSMONLB,394.99,1848.0,0.0
HUBMAR,394.99,0.0,0.0
LENMIC,394.99,1775.0,0.0
HASFAY,388.0,0.0,0.0
JANREBP,350.0,0.0,0.0
DABJOS,349.99,344.0,0.0
THASAMWE,349.99,0.0,0.0
WERROB,304.2,0.0,0.0
LUCPAULYO,260.0,540.0,0.0
VOHSAF,248.99,497.98,0.0
CUARACMOK,245.0,1582.0,0.0
SINSUN,245.0,588.0,0.0
AHMSAN,199.99,1057.0,0.0
SKRLEO,199.99,3853.97,0.0
KLUANGFL,199.99,0.0,0.0
OBEGAR,199.99,1169.99,0.0
KOWKARDG,194.5,0.0,194.5
WELPAI,147.0,539.0,49.0
COOJAN,147.0,4448.0,0.0
BERDERCP,130.0,0.0,0.0
JANPET,71.5,3450.0,0.0
VANMATWS,65.0,195.0,0.0
AUSMIC,65.0,0.0,0.0
KAUHAR,49.0,98.0,0.0
RYCJUAFL,49.0,49.0,0.0
BAPBENNR,30.0,0.0,0.0
LITALY,30.0,0.0,0.0
OLEGRE,0.0,0.0,0.0
PANANE,0.0,479.0,0.0
PALCHR,0.0,0.0,0.0
OCOJOH,0.0,0.0,0.0
PAPAMI,0.0,252.2,0.0
PAPMAR,0.0,0.0,0.0
PAPRAC,0.0,0.0,0.0
OFLPATWR,0.0,0.0,0.0
NUGBRI,0.0,0.0,0.0
PAPRIC,0.0,0.0,0.0
OGRLIS,0.0,0.0,0.0
PAGPET,0.0,0.0,0.0
OFLPAT,0.0,0.0,0.0
OLORIT,0.0,0.0,0.0
PAHLOU,0.0,0.0,0.0
OPIERN,0.0,0.0,0.0
OLUMOR,0.0,199.0,0.0
ONIJEF,0.0,0.0,0.0
PAGCAR,0.0,0.0,0.0
ODOKAR,0.0,0.0,0.0
OZIERI,0.0,0.0,0.0
ORSSTE,0.0,0.0,0.0
ORNJOSLAP,0.0,0.0,0.0
OREBRA,0.0,0.0,0.0
OREBER,0.0,0.0,0.0
NUGTIM,0.0,0.0,0.0
PARAJE,0.0,0.0,0.0
PATDHASHW,0.0,0.0,0.0
PARANG,0.0,0.0,0.0
PERJON,0.0,0.0,0.0
PERMIC,0.0,0.0,0.0
PETBRY,0.0,0.0,0.0
PETDAV,0.0,0.0,0.0
PETJAS,0.0,0.0,0.0
PETMAR,0.0,0.0,0.0
PHIJOSCH,0.0,0.0,0.0
PICGIN,0.0,1644.0,0.0
PISNIC,0.0,0.0,0.0
PISSUS,0.0,0.0,0.0
POGROG,0.0,0.0,0.0
POGTHO,0.0,0.0,0.0
POKGAI,0.0,0.0,0.0
POLALE,0.0,0.0,0.0
POLNIC,0.0,1032.0,0.0
PONANT,0.0,0.0,0.0
POPDAN,0.0,0.0,0.0
POPNAT,0.0,124.8,0.0
POSBRI,0.0,0.0,0.0
