year,month,total_net,biz_days,daily_avg,month_label
173,1,54.0,21,2.5714285714285716,Jan
489,2,85.0,20,4.25,Feb
2025,1,417392.08,23,18147.481739130435,Jan
2025,2,408030.9,20,20401.545000000002,Feb
2025,3,470754.48,21,22416.879999999997,Mar
2025,4,499865.18,22,22721.144545454546,Apr
2025,5,495533.07,22,22524.230454545454,May
2025,6,469825.89,21,22372.661428571428,Jun
2025,7,499520.19,23,21718.269130434783,Jul
2025,8,453151.55,21,21578.645238095236,Aug
2025,9,440293.07,22,20013.321363636365,Sep
2025,10,486658.22,23,21159.05304347826,Oct
2025,11,427177.68,20,21358.884,Nov
2025,12,449102.99,23,19526.216956521737,Dec
2026,1,431721.99,22,19623.726818181818,Jan
2026,2,465458.54,20,23272.927,Feb
2026,3,471967.74,22,21453.07909090909,Mar
2026,4,469395.16,22,21336.143636363635,Apr
2026,5,429542.97,21,20454.42714285714,May
2026,6,384754.93,22,17488.860454545455,Jun
