account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
ATHJOH,101062.51,101062.51,0.0,0.0,1,0.0,0.0,101062.51,0.029011079158156594
KORMIK,50926.880000000005,50926.880000000005,0.0,204.59,1,0.0,0.4,151989.39,0.043630187143481144
TADSIM,44682.26,44682.26,0.0,207.22,1,0.0,0.46,196671.65000000002,0.0564567098750592
FRAMIC,39934.92,39934.92,0.0,0.0,1,0.0,0.0,236606.57,0.06792045766140105
ALSEMA,39218.52,39218.52,37118.0,92.06,1,5.7,0.23,275825.09,0.07917855513182552
MALRYA,39018.3,39018.3,0.0,78.9,1,0.0,0.2,314843.39,0.09037917730038933
GAFCOL,38128.72,38128.72,0.0,0.0,1,0.0,0.0,352972.11,0.10132443597365191
DOUBRI,36432.68,36432.68,0.0,202.04,1,0.0,0.55,389404.79,0.1117828281452276
SARDEMRI,34407.36,34407.36,0.0,0.0,1,0.0,0.0,423812.14999999997,0.12165983045383036
KOLMARFF,33995.4,33995.4,0.0,0.0,1,0.0,0.0,457807.55,0.1314185752189584
SAMJACSTC,33768.5,33768.5,55.0,96.9,1,61297.3,0.29,491576.05,0.14111218590161617
SULKHAFL,32774.8,32774.8,0.0,38.78,1,0.0,0.12,524350.85,0.15052054432446507
ANDMAR,32656.07,32656.07,0.0,0.0,1,0.0,0.0,557006.9199999999,0.15989482002535851
FELNIC,31835.93,31835.93,0.0,0.0,1,0.0,0.0,588842.85,0.16903366572890907
MCCSCO,30237.98,30237.98,0.0,0.0,1,0.0,0.0,619080.83,0.17771380271900317
KHASUM,29413.55,29413.55,0.0,128.45,1,0.0,0.44,648494.38,0.1861572782211691
PERLUI,28929.16,28929.16,0.0,80.41999999999999,1,0.0,0.28,677423.54,0.19446170437028193
BOYMIC,28285.4,28285.4,0.0,0.0,1,0.0,0.0,705708.9400000001,0.20258133229581163
NISLIN,28159.14,28159.14,0.0,126.07,1,0.0,0.45,733868.0800000001,0.21066471593199496
CUARACMOK,27600.73,27600.73,0.0,0.0,1,0.0,0.0,761468.81,0.21858780197896635
