product_type,ytd,ly,lm
FDA INFECTION CONTROL,483109.62,887902.65,77684.55
DIGITAL BRUXZIR,372479.84,672050.84,67167.75
BRUXZIR,208037.05,292915.02,38425.61
DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),142671.88999999998,279026.16,22306.28
DIGITAL ARTISTIC EZ,123226.98,232813.14,20688.64
PROCESS NAME,102704.65,99701.93,9595.17
ARTISTIC EZ,89807.56999999999,138762.88,13303.310000000001
DIGITAL PRINTED MODEL FIXED (PER ARCH),81285.72,172033.56,12287.55
IN OFFICE CONVERSION,48991.14,90622.75,3190.04
HERAEUS MONDIAL ANTERIOR 1 TOOTH,47162.08,126487.5,3575.73
Shipping Cost,41701.85,100080.65,6721.56
ANALOG DIGITAL IMPRESSION,41214.55,99315.76999999999,9204.4
DIGITAL LAYERED ZIRC,37953.86,66143.76,5911.21
CRA,34485.770000000004,67959.12,5142.05
Artistic Call Date Verification,32017.98,35296.5,5275.5599999999995
NOBLE YELLOW 40%,31388.77,48950.52,4138.9400000000005
ZIRC ADJUST,30887.240000000005,54119.240000000005,7714.67
PROCESS FINISH,29989.39,33600.84,6020.35
Artistic Call Remake Clarification,29921.97,70110.34,6203.43
CUSTOM SHADING,27647.88,45739.64,4567.33
ALL ON 4 ZIRC DENTURE FINISH W/ H/S COMFORT GUARD,26544.59,31906.96,5408.58
COMFORT H/S BITE SPLINT,26500.29,98436.57,3895.24
2ND RESET AND WAX,24209.98,21133.96,6225.360000000001
ZIRC BRIDGE CARVE G/S 2-5,23585.79,41308.59,4127.8099999999995
REMOVABLE ADJUSTMENT,22459.829999999998,18958.19,4773.419999999999
ALL ON 4 ZIRC DENTURE PROTOTYPE,22329.34,31874.86,6477.7
FULL DENTURE PREMIUM,19757.04,27913.89,2784.7
COMPLEX REPAIR,19054.09,29766.66,521.8399999999999
PHOTOGRAMMETRY/DIGITAL FINAL ZR W/TI BASE,18932.25,19735.89,14079.77
SCREWMENTABLE TI ABUTMENT,17861.18,45185.17,2617.54
SCREW RETAINED CROWN TI-BASE,16125.73,36547.020000000004,3145.43
Eval Removable case,15773.5,26146.72,1536.38
POST AND CORE,14271.9,22752.97,2885.76
CO-DIAGNOSTIX SURGICAL GUIDE,12934.470000000001,22324.09,1402.7
3 STEP-TEMP/FINAL A04 IMPRESSION,12435.45,18346.23,499.73
SMART CONVERSION ADD SITE,12421.36,29944.93,3366.0
STRAUMANN GENUINE SCREWMENTABLE TI ABUTMENT,12083.87,58975.79,1694.1200000000001
DIGITAL EMAX MONO,11754.92,18972.28,3622.32
Eval Implant,10853.3,25887.269999999997,1236.35
SMILE SHAPERS TREATMENT PLAN,10849.220000000001,3861.94,106.25
SMART CONVERSION PARTS,10611.9,12268.23,1122.0
PARTLESS PROTOTYPE,10424.04,4014.84,1607.54
TECH ASSISTANCE,10333.47,8982.15,782.09
STONE MODEL REMOVABLE(PER ARCH),10320.95,39385.89,1316.43
ALL ON 4 COMFORT H/S BITE SPLINT,10082.18,1779.0,240.73000000000002
CONELOG SCREWMANTABLE,9503.7,0.0,2330.71
SCREWMENTABLE CASE,9305.33,15434.81,1292.0
METAL OCCLUSION/LINGUAL,8724.28,20538.440000000002,1145.76
FULL DENTURE FINISH PREMIUM TEETH,8614.48,20290.61,825.38
A04 RETREAD,8365.71,1821.69,2110.64
ACRYLIC TEMPORARY,8114.78,20482.7,1905.12
ALL ZIRC ADDITIONAL SITE,8074.02,224.99,0.0
DIGITAL FLIPPER 1-5 TEETH,7738.86,8950.42,2068.7599999999998
RETURN,7407.78,29548.16,1410.29
ZIRC BRIDGE CARVE 6+,7165.3,8065.84,2409.94
ACRYLIC BASE&BITE RIM,6978.929999999999,11990.31,136.57
NOBLE/WHITE,6796.51,10077.45,532.67
LASER WELD-DENTURE,6427.5,13893.32,392.97
FULL CAST CRN ADJUSTMENT,6405.6900000000005,1776.95,1268.24
STRAUMANN GENUINE TI-BASE FOR SCREW RETAINED CROWN,6150.25,12243.28,1594.4799999999998
HERAEUS ARTIC ANTERIOR 1 TOOTH,5781.31,10410.689999999999,1205.8
NOBEL GENUINE TI-BASE FOR SCREW RETAINED CROWN,5448.71,12035.210000000001,1595.01
VF RETAINER,5433.86,21517.43,1297.99
FLEXI PARTIAL W/ PINK CLASPS,5407.7,18766.22,802.1799999999998
CAST PARTIAL FRAME AND SET TEETH,5195.120000000001,6132.1,772.48
DIGITAL EMAX VENEER,5010.79,12658.17,964.93
BIOHORIZONS GENUINE TI-BASE FOR SCREW RETAINED CROWN,4999.96,8012.92,1453.12
IMPLANT SCREW,4885.259999999999,12600.869999999999,132.8
Call Doctor NO Die Trim - C&B,4603.27,4389.320000000001,0.0
DIGITAL DIAGNOSTIC WAXUP,4515.460000000001,18446.96,2036.5
BIO HORIZONS GENUINE SCREWMENTABLE TI ABUTMENT,4001.3,8318.94,629.03
EMAX VENEER,3921.4799999999996,0.0,1311.48
SAME DAY COMPLEX REPAIR,3517.2799999999997,5471.71,315.1
DUAL CRA,3434.17,7300.66,0.0
Digital A04 With Surgical Guide,3414.75,10051.99,0.0
ALL ON 4 HYBRID FINISH W/ H/S COMFORT GUARD,3332.2799999999997,1106.99,0.0
SET UP 1-9 TEETH,3065.63,626.97,0.0
SIMPLE REPAIR,3005.58,5032.34,858.79
TITAINIUM ABUTMENT,2931.8,10352.68,1272.22
Artistic Call Doctor Requested Call,2926.72,9617.94,242.45
FULL DENTURE SET UP ECONOMY TEETH,2846.77,0.0,764.94
DIGITAL THERMOPLASTIC CRA,2763.59,2154.98,163.85
HEATCURE RELINE,2442.57,12275.3,108.43
ALL ON 4 REPAIR,2423.8,9986.56,0.0
FULL DENTURE FINISH ECONOMY TEETH,2339.2200000000003,2814.82,451.73
PFM BASE,2207.58,2701.82,141.96
HAWLEY RETAINER,2205.0299999999997,3871.77,170.05
CHAIRSIDE IOS SCAN,1947.0,0.0,0.0
DIGITAL CRA HARD,1432.22,10937.550000000001,142.6
LAYERED ZIRC,1348.4699999999998,3243.07,487.78
Pros Tool Kit,1112.71,1221.0,1112.71
B-SPLINT,1078.1,1070.88,433.74
Eval C&B case - NO DIE TRIM step,975.85,1023.96,0.0
