account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct
ATHJOH,100652.47,100652.47,0.0,0.0,1,0.0,0.0
KORMIK,48397.73,48397.73,0.0,204.59,1,0.0,0.42
TADSIM,43683.5,43683.5,0.0,207.22,1,0.0,0.47
ALSEMA,39218.52,39218.52,37118.0,92.06,1,5.7,0.23
FRAMIC,39041.65,39041.65,0.0,0.0,1,0.0,0.0
MALRYA,37876.12,37876.12,0.0,78.9,1,0.0,0.21
GAFCOL,37288.91,37288.91,0.0,0.0,1,0.0,0.0
DOUBRI,35624.509999999995,35624.509999999995,0.0,202.04,1,0.0,0.57
SARDEMRI,34407.36,34407.36,0.0,0.0,1,0.0,0.0
SAMJACSTC,32487.100000000002,32487.100000000002,55.0,96.9,1,58967.5,0.3
KOLMARFF,31787.89,31787.89,0.0,0.0,1,0.0,0.0
FELNIC,30641.68,30641.68,0.0,0.0,1,0.0,0.0
SULKHAFL,30446.120000000003,30446.120000000003,0.0,38.78,1,0.0,0.13
ANDMAR,30393.49,30393.49,0.0,0.0,1,0.0,0.0
PERLUI,28929.16,28929.16,0.0,80.41999999999999,1,0.0,0.28
KHASUM,28186.17,28186.17,0.0,128.45,1,0.0,0.46
MCCSCO,28156.04,28156.04,0.0,0.0,1,0.0,0.0
CUARACMOK,27427.32,27427.32,0.0,0.0,1,0.0,0.0
NISLIN,27286.850000000002,27286.850000000002,0.0,126.07,1,0.0,0.46
BOYMIC,26892.31,26892.31,0.0,0.0,1,0.0,0.0
TAPGAR,25012.36,25012.36,0.0,0.0,1,0.0,0.0
HUBMAR,24911.18,24911.18,0.0,0.0,1,0.0,0.0
GRAALE,24538.94,24538.94,0.0,0.0,1,0.0,0.0
HANMIR,24480.89,24480.89,0.0,212.27,1,0.0,0.87
NIEMAR,24370.23,24370.23,59.98,793.78,1,40530.6,3.26
SOOANUHE,22666.79,22666.79,0.0,184.12,1,0.0,0.81
WALBRIOP,22010.76,22010.76,0.0,0.0,1,0.0,0.0
JURAND,21992.34,21992.34,0.0,0.0,1,0.0,0.0
CHANHWA,21582.98,21582.98,2429.91,59.74,1,788.2,0.28
WYLDUS,21464.100000000002,21464.100000000002,0.0,0.0,1,0.0,0.0
KUCMAR,21401.41,21401.41,0.0,0.0,1,0.0,0.0
AHMSAN,21114.14,21114.14,0.0,0.0,1,0.0,0.0
IWAAGG,21109.72,21109.72,0.0,160.98000000000002,1,0.0,0.76
YIANIC,20869.26,20869.26,0.0,0.0,1,0.0,0.0
TOKNIC,20171.399999999998,20171.399999999998,0.0,0.0,1,0.0,0.0
ABUSIM,20143.72,20143.72,0.0,0.0,1,0.0,0.0
NICJEF,20115.14,20115.14,0.0,84.98,1,0.0,0.42
CORJER,20113.1,20113.1,0.0,0.0,1,0.0,0.0
RHICAT,20112.68,20112.68,954.0,380.94,1,2008.2,1.89
GAFMEG,20079.52,20079.52,0.0,246.47,1,0.0,1.23
PATUMA,20007.32,20007.32,0.0,140.56,1,0.0,0.7
RIYTARCHI,19098.63,19098.63,0.0,0.0,1,0.0,0.0
CASLEN,18724.7,18724.7,0.0,0.0,1,0.0,0.0
AUSMIC,18702.04,18702.04,0.0,0.0,1,0.0,0.0
OBEGAR,18456.920000000002,18456.920000000002,0.0,225.06,1,0.0,1.22
LUKPAU,18065.53,18065.53,0.0,0.0,1,0.0,0.0
MACHAZ,17858.44,17858.44,0.0,0.0,1,0.0,0.0
SINMAN,17726.99,17726.99,0.0,0.0,1,0.0,0.0
GIUMIC,17357.87,17357.87,0.0,93.01,1,0.0,0.54
DOUJASVA,17105.43,17105.43,0.0,0.0,1,0.0,0.0
THOJAM,16939.93,16939.93,0.0,0.0,1,0.0,0.0
NUCMAG,16759.22,16759.22,0.0,0.0,1,0.0,0.0
PICGIN,16560.14,16560.14,0.0,87.25999999999999,1,0.0,0.53
CHUMAN,16480.399999999998,16480.399999999998,0.0,91.05,1,0.0,0.55
BERDANLAP,16295.56,16295.56,0.0,112.52,1,0.0,0.69
BALJOS,16280.869999999999,16280.869999999999,0.0,0.0,1,0.0,0.0
FIEJAM,15988.35,15988.35,0.0,0.0,1,0.0,0.0
DARDAVSB,15793.18,15793.18,0.0,39.9,1,0.0,0.25
SYLCOLBL,15611.029999999999,15611.029999999999,0.0,0.0,1,0.0,0.0
NIEJOS,15435.199999999999,15435.199999999999,0.0,0.0,1,0.0,0.0
SINPAU,15357.77,15357.77,109.0,0.0,1,13989.7,0.0
YERPAT,15183.33,15183.33,0.0,92.06,1,0.0,0.61
MARROM,14786.95,14786.95,0.0,0.0,1,0.0,0.0
CONJONMO,14761.22,14761.22,0.0,0.0,1,0.0,0.0
GAMBRI,14645.97,14645.97,0.0,0.0,1,0.0,0.0
TYSMONLB,14622.119999999999,14622.119999999999,0.0,0.0,1,0.0,0.0
LEBRAFB,14204.77,14204.77,0.0,44.5,1,0.0,0.31
GRISET,14074.17,14074.17,0.0,46.02,1,0.0,0.33
REMTHO,14069.47,14069.47,0.0,0.0,1,0.0,0.0
LOVJAM,13990.11,13990.11,0.0,0.0,1,0.0,0.0
RYASEA,13574.36,13574.36,0.0,314.52,1,0.0,2.32
PAMPAU,13527.8,13527.8,0.0,0.0,1,0.0,0.0
MALKEV,13225.93,13225.93,0.0,0.0,1,0.0,0.0
VOHSAF,13030.64,13030.64,0.0,0.0,1,0.0,0.0
MORCHR,12864.86,12864.86,299.98,0.0,1,4188.6,0.0
HASFAY,12846.460000000001,12846.460000000001,0.0,216.86,1,0.0,1.69
JUEDAV,12796.47,12796.47,0.0,0.0,1,0.0,0.0
ZOLMAR,12687.619999999999,12687.619999999999,0.0,0.0,1,0.0,0.0
