case_number,account_id,date_in,remake_reason
454052,NEWDAV,7/6/2026,Case Mix-Up
454832,VANLAU,7/15/2026,Case Mix-Up
455028,COLVIN,7/20/2026,Case Mix-Up
453926,FELNIC,7/2/2026,Contacts
454116,TRALUA,7/7/2026,Contacts
454271,ANDMAR,7/8/2026,Contacts
454565,RHICAT,7/13/2026,Contacts
454595,SAMJACSTC,7/13/2026,Contacts
454602,ANKSHA,7/13/2026,Contacts
454818,FIEJAM,7/15/2026,Contacts
455056,FELNIC,7/20/2026,Contacts
455088,YERPAT,7/20/2026,Contacts
454027,LEEAND,7/6/2026,Contour/Design
454059,CORJER,7/6/2026,Contour/Design
454163,HASSHA,7/7/2026,Contour/Design
454294,SULKHAFL,7/8/2026,Contour/Design
454922,MALRYA,7/16/2026,Contour/Design
454998,WALBRIOP,7/17/2026,Contour/Design
455027,NISLIN,7/20/2026,Contour/Design
455071,WITMAT,7/20/2026,Contour/Design
454135,HANMIR,7/7/2026,Dr. Changed Design
454468,COOJAN,7/10/2026,Dr. Changed Design
453728,BOYMIC,7/1/2026,Fit
453729,SIETOM,7/1/2026,Fit
453731,PRAMAR,7/1/2026,Fit
453739,NIEMAR,7/1/2026,Fit
453828,RHICAT,7/1/2026,Fit
453839,GAFCOL,7/1/2026,Fit
454048,PATPINNVO,7/6/2026,Fit
454073,YERPAT,7/6/2026,Fit
454167,KORMIK,7/7/2026,Fit
454169,KORMIK,7/7/2026,Fit
454219,LEINIR,7/8/2026,Fit
454221,NISLIN,7/8/2026,Fit
454241,KHASUM,7/8/2026,Fit
454261,HOLMARLA,7/8/2026,Fit
454289,EXONAT,7/8/2026,Fit
454444,LEEALI,7/10/2026,Fit
454559,SALNICLAW,7/13/2026,Fit
454593,SAMJACSTC,7/13/2026,Fit
454751,POLNIC,7/15/2026,Fit
454784,MALRYA,7/15/2026,Fit
454953,NISLIN,7/17/2026,Fit
455023,SOOANUHE,7/20/2026,Fit
453752,BRERIC,7/1/2026,Fracture
454118,NISLIN,7/7/2026,Fracture
454162,TUCELILV,7/7/2026,Fracture
454196,AHMSAN,7/7/2026,Fracture
454222,TADSIM,7/8/2026,Fracture
454375,MCCJOS,7/9/2026,Fracture
454521,NISLIN,7/13/2026,Fracture
454540,PICGIN,7/13/2026,Fracture
454586,PICGIN,7/13/2026,Fracture
454696,BOYMIC,7/14/2026,Fracture
454704,KORNAT,7/14/2026,Fracture
454767,KHASUM,7/15/2026,Fracture
454964,LEEAND,7/17/2026,Fracture
455173,HASFAY,7/21/2026,Fracture
455204,CUARACMOK,7/21/2026,Fracture
453858,SAFHAY,7/1/2026,Margins
453881,RASMOSFL,7/1/2026,Margins
453906,SOOANUHE,7/2/2026,Margins
453929,BECDEN,7/2/2026,Margins
453932,CHANHWA,7/2/2026,Margins
453950,BAPBEN,7/2/2026,Margins
454032,RESVER,7/6/2026,Margins
454213,TADSIM,7/8/2026,Margins
454266,LUKPAU,7/8/2026,Margins
454267,SEROSANV,7/8/2026,Margins
454287,PERLUI,7/8/2026,Margins
454592,SAMJACSTC,7/13/2026,Margins
454705,PATPINNV,7/14/2026,Margins
454739,RESVER,7/14/2026,Margins
454795,SEERANNV,7/15/2026,Margins
454805,WALBRIOP,7/15/2026,Margins
454926,ZHAVIV,7/16/2026,Margins
455052,PAUMICBL,7/20/2026,Margins
454659,BECDEN,7/14/2026,NEED
454025,TUCELILV,7/6/2026,Occlusion
454201,ALIAMJ,7/7/2026,Occlusion
454348,LACMAT,7/9/2026,Occlusion
454563,GRAALE,7/13/2026,Occlusion
454790,NUCMAG,7/15/2026,Occlusion
454044,BACKAT,7/6/2026,RX Not followed
454194,NEWDAV,7/7/2026,RX Not followed
454334,SIETOM,7/9/2026,RX Not followed
454502,HYVIRE,7/10/2026,RX Not followed
454557,MADABD,7/13/2026,RX Not followed
454026,BEZPAT,7/6/2026,Shade
454030,CHANHWA,7/6/2026,Shade
454272,WITMAT,7/8/2026,Shade
454467,CHANHWA,7/10/2026,Shade
455006,JANREBP,7/17/2026,Shade
455092,TRALUA,7/20/2026,Shade
455171,VOHSAF,7/21/2026,Shade
455172,TRALUA,7/21/2026,Shade
