account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct
ATHJOH,657420.71,64008.35,76783.26,0.0,9,-16.6,0.0
CORJER,615606.0,11277.33,44807.18,0.0,8,-74.8,0.0
PATUMA,597563.79,13218.91,45671.700000000004,1407.95,9,-71.1,10.65
GRAALE,548182.79,12750.96,48100.07,311.99,8,-73.5,2.45
GRAVICDES,523616.82,3028.8,6252.6,198.0,8,-51.6,6.54
SARDEMRI,490902.97,21048.93,91392.84999999999,0.0,9,-77.0,0.0
SANJAM,488232.31,2407.99,15617.41,178.0,9,-84.6,7.39
DEWGLEWR,478909.06,0.0,5657.79,0.0,8,-100.0,0.0
FRAMIC,464894.4,17877.21,75334.31,1461.13,9,-76.3,8.17
FIEJAM,451968.82,6551.77,27042.86,499.94,8,-75.8,7.63
HOLMAR,437485.73,0.0,0.0,0.0,8,0.0,0.0
PAPRIC,436145.22,0.0,0.0,0.0,8,0.0,0.0
WITLEOMOKE,422249.13,79.99,229.99,0.0,9,-65.2,0.0
FELNIC,408881.05,15875.390000000001,52154.01,1684.98,8,-69.6,10.61
DROMIC,400096.4,0.0,0.0,0.0,9,0.0,0.0
FRATER,398089.5,975.99,6328.86,89.0,8,-84.6,9.12
CUARACMOK,385258.66,16340.53,45981.61,146.97,8,-64.5,0.9
HUBMAR,374032.62,12583.289999999999,28557.829999999998,369.97,7,-55.9,2.94
DAHJEF,370717.47,0.0,0.0,0.0,8,0.0,0.0
KUCMAR,364267.62,9295.42,24304.44,729.96,8,-61.8,7.85
ALSEMA,356026.13,19266.3,70110.34,1415.4,7,-72.5,7.35
PATRIC,354785.2,0.0,0.0,0.0,9,0.0,0.0
NEWDAV,352183.64,467.28,1070.88,0.0,8,-56.4,0.0
TAPGAR,351265.65,11414.32,36161.96000000001,0.0,7,-68.4,0.0
BRERIC,342972.82,3627.76,21799.36,105.99,8,-83.4,2.92
GAFCOL,336826.11,20386.84,52802.26,784.88,9,-61.4,3.85
MCCSCO,327768.46,13473.52,49363.079999999994,109.99,7,-72.7,0.82
WOJMAR,325514.54,0.0,671.0,0.0,8,-100.0,0.0
FRASCO,321997.82,0.0,2149.49,0.0,9,-100.0,0.0
LEVROR,319823.07,1963.98,2997.0,0.0,9,-34.5,0.0
SATHAR,313697.23,639.96,21294.45,0.0,6,-97.0,0.0
GURPHI,310678.41,1149.0,9535.0,0.0,8,-87.9,0.0
REMTHO,309424.56,8878.210000000001,22842.14,1718.83,8,-61.1,19.36
ANDMAR,308120.54,14671.92,28067.24,89.99,9,-47.7,0.61
GREGGA,305174.88,0.0,0.0,0.0,8,0.0,0.0
POLNIC,298860.25,2141.86,17689.55,0.0,9,-87.9,0.0
NIEMAR,296890.22,12512.92,43659.0,1178.73,8,-71.3,9.42
FOSERI,291327.26,0.0,12288.22,0.0,8,-100.0,0.0
MCKJAM,287209.31,0.0,0.0,0.0,9,0.0,0.0
FITROB,286041.76,0.0,0.0,0.0,8,0.0,0.0
SLAMICJOL,285502.23,5740.62,22111.09,0.0,9,-74.0,0.0
KWITHO,274203.33999999997,0.0,0.0,0.0,8,0.0,0.0
GOERON,266956.97,0.0,0.0,0.0,8,0.0,0.0
YERPAT,266369.61,10075.5,25926.989999999998,566.98,8,-61.1,5.63
ANGLEOCP1,261378.47,0.0,0.0,0.0,8,0.0,0.0
TROCHR,260537.1,0.0,3531.78,0.0,8,-100.0,0.0
KHASUM,259454.28,15007.44,49261.53,1289.8700000000001,8,-69.5,8.59
MALRYA,258233.23,18375.85,42621.659999999996,1911.0,7,-56.9,10.4
PRODON,256256.16,2921.17,8329.45,311.98,8,-64.9,10.68
HAMWIL,256066.58000000002,0.0,0.0,0.0,9,0.0,0.0
KASMIK,253213.21,1619.94,10608.55,0.0,8,-84.7,0.0
LUCPAULYO,252690.36,6567.63,18994.68,427.99,9,-65.4,6.52
FILPAU,250976.9,0.0,0.0,0.0,8,0.0,0.0
IZZKAR,247613.05,0.0,0.0,0.0,8,0.0,0.0
POTCHR,243358.03,5731.95,24628.1,82.99,7,-76.7,1.45
GAFMEG,243053.09,10057.02,38407.12,346.99,8,-73.8,3.45
SKOTHO,242387.76,0.0,0.0,0.0,8,0.0,0.0
LITALY,242358.06,4193.75,11255.96,0.0,8,-62.7,0.0
DESAMI,239126.32,0.0,0.0,0.0,8,0.0,0.0
WEYKIM,237920.18,0.0,0.0,0.0,7,0.0,0.0
LUKPAU,237598.82,11491.9,28108.890000000003,1712.8300000000002,8,-59.1,14.9
LEZBEA,236187.67,4103.98,14877.470000000001,586.95,8,-72.4,14.3
