account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
ATHJOH,657420.71,64008.35,76783.26,0.0,9,-16.6,0.0,657420.71,0.007871462790836297
CORJER,615606.0,11277.33,44807.18,0.0,8,-74.8,0.0,1273026.71,0.015242267587684833
PATUMA,597563.79,13218.91,45671.700000000004,1407.95,9,-71.1,10.65,1870590.5,0.022397048486108486
GRAALE,548182.79,12750.96,48100.07,311.99,8,-73.5,2.45,2418773.29,0.028960578305638855
GRAVICDES,523616.82,3028.8,6252.6,198.0,8,-51.6,6.54,2942390.11,0.03522997361459714
SARDEMRI,490902.97,21048.93,91392.84999999999,0.0,9,-77.0,0.0,3433293.08,0.041107677805367206
SANJAM,488232.31,2407.99,15617.41,178.0,9,-84.6,7.39,3921525.39,0.046953405515175815
DEWGLEWR,478909.06,0.0,5657.79,0.0,8,-100.0,0.0,4400434.45,0.052687503618024434
FRAMIC,464894.4,17877.21,75334.31,1461.13,9,-76.3,8.17,4865328.850000001,0.058253800687169344
FIEJAM,451968.82,6551.77,27042.86,499.94,8,-75.8,7.63,5317297.670000001,0.06366533655017584
HOLMAR,437485.73,0.0,0.0,0.0,8,0.0,0.0,5754783.4,0.0689034627497853
PAPRIC,436145.22,0.0,0.0,0.0,8,0.0,0.0,6190928.62,0.07412553868747687
WITLEOMOKE,422249.13,79.99,229.99,0.0,9,-65.2,0.0,6613177.75,0.07918123325976681
FELNIC,408881.05,15875.390000000001,52154.01,1684.98,8,-69.6,10.61,7022058.8,0.08407686846260834
DROMIC,400096.4,0.0,0.0,0.0,9,0.0,0.0,7422155.2,0.08886732285116504
FRATER,398089.5,975.99,6328.86,89.0,8,-84.6,9.12,7820244.7,0.09363374812345776
CUARACMOK,385258.66,16340.53,45981.61,146.97,8,-64.5,0.9,8205503.36,0.09824654653535667
HUBMAR,374032.62,12583.289999999999,28557.829999999998,369.97,7,-55.9,2.94,8579535.98,0.10272493275913264
DAHJEF,370717.47,0.0,0.0,0.0,8,0.0,0.0,8950253.450000001,0.10716362586178524
