order_id,account_id,product_type,revenue,cogs,order_date,ship_date,status,tech_id
ORD001000,ACC006,Crown PFM,157.38,57.6,2024-04-01,2024-04-05,Complete,TECH06
ORD001001,ACC008,Nightguard,87.56,36.65,2024-04-01,2024-04-07,Remake,TECH02
ORD001002,ACC005,Crown PFM,150.85,63.44,2024-04-01,2024-04-10,Complete,TECH02
ORD001003,ACC004,Implant Abutment,214.96,63.45,2024-04-01,2024-04-10,Complete,TECH03
ORD001004,ACC002,Implant Crown,324.7,92.84,2024-04-01,2024-04-05,Complete,TECH03
ORD001005,ACC010,Clear Aligner Set,531.37,173.29,2024-04-01,2024-04-05,Complete,TECH04
ORD001006,ACC001,Implant Abutment,215.93,72.27,2024-04-01,2024-04-13,Complete,TECH02
ORD001007,ACC008,Crown PFM,154.47,64.15,2024-04-01,2024-04-07,Complete,TECH01
ORD001008,ACC003,Veneer,127.07,41.93,2024-04-01,2024-04-07,Complete,TECH06
ORD001009,ACC002,Crown Zirconia,173.63,53.03,2024-04-01,2024-04-06,Complete,TECH04
ORD001010,ACC003,Nightguard,90.72,35.9,2024-04-01,2024-04-04,Complete,TECH02
ORD001011,ACC010,Full Denture,680.2,276.9,2024-04-01,2024-04-13,Complete,TECH06
ORD001012,ACC003,Veneer,119.87,46.77,2024-04-01,2024-04-08,Complete,TECH02
ORD001013,ACC002,Nightguard,98.3,39.12,2024-04-01,2024-04-13,Complete,TECH04
ORD001014,ACC003,Bridge 3-Unit,431.5,157.18,2024-04-01,2024-04-05,Complete,TECH02
ORD001015,ACC006,Partial Denture,414.4,172.25,2024-04-01,2024-04-11,Complete,TECH05
ORD001016,ACC002,Nightguard,105.94,33.53,2024-04-01,2024-04-12,Complete,TECH03
ORD001017,ACC009,Full Denture,630.96,299.76,2024-04-01,2024-04-08,Complete,TECH05
ORD001018,ACC009,Nightguard,107.17,40.06,2024-04-01,2024-04-12,Complete,TECH05
ORD001019,ACC002,Full Denture,741.63,306.24,2024-04-01,2024-04-12,Complete,TECH01
ORD001020,ACC006,Veneer,108.58,46.9,2024-04-02,2024-04-09,Complete,TECH02
ORD001021,ACC001,Clear Aligner Set,625.21,174.94,2024-04-02,2024-04-06,Complete,TECH05
ORD001022,ACC009,Bridge 3-Unit,447.27,187.14,2024-04-02,2024-04-13,Complete,TECH05
ORD001023,ACC004,Implant Crown,322.69,101.04,2024-04-02,2024-04-09,Complete,TECH04
ORD001024,ACC015,Full Denture,686.48,304.89,2024-04-02,2024-04-08,Complete,TECH01
ORD001025,ACC003,Clear Aligner Set,571.16,194.55,2024-04-02,2024-04-05,Remake,TECH02
ORD001026,ACC001,Crown PFM,161.66,55.44,2024-04-02,2024-04-12,Complete,TECH02
